Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.304512e-01   5.385833e+00   8.780004e-01
  1.355978e-01   4.404364e+00   8.332397e-01
  1.407443e-01   5.625082e+00   7.827158e-01
  1.458909e-01   5.636211e+00   7.356251e-01
  1.510375e-01   5.176859e+00   6.900734e-01
  1.561841e-01   5.434883e+00   6.578989e-01
  1.613306e-01   4.515431e+00   6.227173e-01
  1.664772e-01   5.048897e+00   5.987916e-01
  1.716238e-01   6.044572e+00   5.707895e-01
  1.767703e-01   4.973706e+00   5.346838e-01
  1.819169e-01   4.964593e+00   5.239417e-01
  1.870635e-01   4.977749e+00   5.067616e-01
  1.922101e-01   4.394653e+00   4.779307e-01
  1.973566e-01   6.289926e+00   4.687389e-01
  2.025032e-01   4.347532e+00   4.504675e-01
  2.076498e-01   5.023770e+00   4.353507e-01
  2.127963e-01   4.612611e+00   4.294401e-01
  2.179429e-01   4.867362e+00   4.096846e-01
  2.230895e-01   4.910038e+00   3.969644e-01
  2.282360e-01   5.849012e+00   3.917794e-01
  2.333826e-01   5.171134e+00   3.820920e-01
  2.385292e-01   4.723373e+00   3.728140e-01
  2.436758e-01   4.773841e+00   3.637886e-01
  2.488223e-01   5.382885e+00   3.561090e-01
  2.539689e-01   4.723030e+00   3.470083e-01
  2.591155e-01   4.497737e+00   3.439846e-01
  2.642620e-01   5.130423e+00   3.358575e-01
  2.694086e-01   4.200029e+00   3.289908e-01
  2.745552e-01   5.036988e+00   3.235053e-01
  2.797018e-01   4.720742e+00   3.193834e-01
  2.848483e-01   5.130620e+00   3.135805e-01
  2.899949e-01   4.805411e+00   3.118994e-01
  2.951415e-01   4.944582e+00   3.143863e-01
  3.002880e-01   4.724423e+00   3.136568e-01
  3.054346e-01   4.847880e+00   3.116235e-01
  3.105812e-01   3.948317e+00   3.093607e-01
  3.157277e-01   4.671034e+00   3.079801e-01
  3.208743e-01   4.365882e+00   3.033226e-01
  3.260209e-01   5.391692e+00   3.044372e-01
  3.311675e-01   4.170698e+00   3.011784e-01
  3.363140e-01   5.140960e+00   3.022676e-01
  3.414606e-01   4.209898e+00   2.995084e-01
  3.466072e-01   4.815235e+00   2.960841e-01
  3.517537e-01   4.607727e+00   2.938305e-01
  3.569003e-01   4.689905e+00   2.878322e-01
  3.620469e-01   4.588092e+00   2.785729e-01
  3.671934e-01   4.124863e+00   2.737691e-01
  3.723400e-01   4.714615e+00   2.732015e-01
  3.774866e-01   4.397596e+00   2.670183e-01
  3.826332e-01   4.854336e+00   2.633215e-01
  3.877797e-01   4.366488e+00   2.629293e-01
  3.929263e-01   3.842041e+00   2.576252e-01
  3.980729e-01   4.376936e+00   2.552936e-01
  4.032194e-01   4.529005e+00   2.522890e-01
  4.083660e-01   4.301242e+00   2.465214e-01
  4.135126e-01   4.147473e+00   2.464779e-01
  4.186592e-01   4.186088e+00   2.453565e-01
  4.238057e-01   4.069742e+00   2.415674e-01
  4.289523e-01   4.541018e+00   2.388024e-01
  4.340989e-01   4.340622e+00   2.376277e-01
  4.392454e-01   4.276800e+00   2.365674e-01
  4.443920e-01   3.955038e+00   2.337058e-01
  4.495386e-01   4.201517e+00   2.325523e-01
  4.546851e-01   4.102344e+00   2.288147e-01
  4.598317e-01   3.700469e+00   2.277253e-01
  4.649783e-01   3.940815e+00   2.288131e-01
  4.701249e-01   4.155399e+00   2.309682e-01
  4.752714e-01   3.908767e+00   2.298957e-01
  4.804180e-01   3.572864e+00   2.326791e-01
  4.855646e-01   4.159086e+00   2.315977e-01
  4.907111e-01   4.135834e+00   2.323467e-01
  4.958577e-01   3.815470e+00   2.326145e-01
  5.010043e-01   4.003751e+00   2.321765e-01
  5.061509e-01   3.911312e+00   2.323874e-01
  5.112974e-01   3.974237e+00   2.350030e-01
  5.164440e-01   4.009759e+00   2.309182e-01
  5.215906e-01   3.803812e+00   2.309218e-01
  5.267371e-01   3.668495e+00   2.307856e-01
  5.318837e-01   3.935910e+00   2.303071e-01
  5.370303e-01   3.614542e+00   2.223606e-01
  5.421768e-01   3.751495e+00   2.212061e-01
  5.473234e-01   4.190361e+00   2.198303e-01
  5.524700e-01   3.955221e+00   2.149082e-01
  5.576166e-01   3.647441e+00   2.146914e-01
  5.627631e-01   3.533414e+00   2.129452e-01
  5.679097e-01   3.342178e+00   2.103035e-01
  5.730563e-01   3.550244e+00   2.092515e-01
  5.782028e-01   3.792870e+00   2.085481e-01
  5.833494e-01   3.750643e+00   2.051754e-01
  5.884960e-01   3.582323e+00   2.048516e-01
  5.936426e-01   3.573454e+00   2.049441e-01
  5.987891e-01   3.446138e+00   2.009957e-01
  6.039357e-01   3.781014e+00   2.016432e-01
  6.090823e-01   3.235971e+00   2.003964e-01
  6.142288e-01   3.469030e+00   1.982347e-01
  6.193754e-01   3.534468e+00   1.969096e-01
  6.245220e-01   3.535327e+00   1.968391e-01
  6.296685e-01   3.378601e+00   1.953272e-01
  6.348151e-01   3.735074e+00   1.952753e-01
  6.399617e-01   3.348492e+00   1.946620e-01
  6.451083e-01   3.036855e+00   1.917924e-01
  6.502548e-01   3.357199e+00   1.914779e-01
  6.554014e-01   3.387988e+00   1.905539e-01
  6.605480e-01   3.032830e+00   1.900169e-01
  6.656945e-01   3.261487e+00   1.925001e-01
  6.708411e-01   3.311044e+00   1.951584e-01
